title,country,genre,director,year
? (фильм),Индонезия,драматический фильм,Ханун Брамантйо,2011
"12 разгневанных мужчин (фильм, 1997)",США,процессуальная драма,Уильям Фридкин,
12 стульев (телеспектакль),СССР,телеспектакль,Александр Белинский,1966
"12 разгневанных мужчин (фильм, 1957)",США,юридическая ,Сидни Люмет,1957
12 раундов: Перезагрузка,США,боевик,Роэль Рейн,2013
12:08 к востоку от Бухареста,Румыния,комедия,Корнелиу Порумбою,2006
12 раундов,США,боевик,Ренни Харлин,2009
13 грехов,США,триллер,,2014
"12 стульев (фильм, 1976)",СССР,комедия,Марк Захаров,
"12 стульев (фильм, 1971)",СССР,комедия,Леонид Гайдай,1971
12 могил Ходжи Насреддина,СССР,комедия,Климентий Минц,1966
12 обезьян (фильм),США,фантастика,Терри Гиллиам,1995
55 (фильм),Россия,документальный фильм,Никита Михалков,2007
55 дней в Пекине,США,драма,Николас Рэй,1963
51 (фильм),США,фантастика,Джейсон Коннери,2011
"12 месяцев (фильм, 2013)",Россия,комедия,Александр Баршак,2013
12 месяцев. Новая сказка,Россия,фильм-сказка,Денис Елеонский,2015
12 дней страха,ЮАР,ужасы,Джек Шолдер,2004
50 оттенков голубого,Новая Зеландия,драма,,2005
50 таблеток,США,Драма,Тео Эвгерино,2006
12 лет рабства,США,историческая,Стив Маккуин,2013
50 первых поцелуев,США,романтическая комедия,Питер Сигал,2004
"49 дней (фильм, 1962)",СССР,драма,Генрих Габай,1962
42-я улица (фильм),США,комедия,Ллойд Бэкон,1933
44 минуты,,"боевик, драма, криминал.",,2003
45-й калибр,США,драма,Гари Леннон,2006
"47 ронинов (фильм, 2013)",США,фэнтези,,2013
45 лет,Великобритания,драма,Эндрю Хэйг,2015
42 (фильм),США,драма,Брайан Хелгеленд,[1]
40-я дверь,Азербайджан,драма,Эльчин Мусаоглу,2009
40 дней и 40 ночей,США,кинокомедия,Майкл Леманн,2002
39-я бригада (фильм),Венгрия,"исторический фильм, военный, экранизация",Карой Макк,1959
"40 (фильм, 2007)",Россия,детектив,Александр Галибин,2007
36 безумных кулаков,Гонконг,боевик,Чэнь Чжихуа,1977
38-я параллель (фильм),Республика Корея,драма,Кан Джегю,2004
33 (фильм),США,драма,,2015
32-е августа на Земле,Канада,драма,Дени Вильнёв,1998
34-й скорый,СССР,Фильм-катастрофа,Андрей Малюков,1981
